row,speed,colors,humanPaddleSize,aiPaddleSize,humanScore,aiScore,guess,tutorial,practice,rt,trial_index,time_elapsed,trial_type,button_pressed,response,responses,worker_id
1504,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3513,11,151736,html-slider-response,NULL,40,NULL,NULL
1505,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,151739,call-function,NULL,NULL,NULL,NULL
1506,15,Array,1.9,1,4,0,2,NULL,NULL,NULL,13,171960,pong,NULL,NULL,NULL,NULL
1507,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1783,14,173744,html-button-response,1,NULL,NULL,NULL
1508,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,839,15,174586,html-button-response,1,NULL,NULL,NULL
1509,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,894,16,175484,html-slider-response,NULL,50,NULL,NULL
1510,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,175486,call-function,NULL,NULL,NULL,NULL
1511,15,Array,1.2,1,5,1,1,NULL,NULL,NULL,18,198361,pong,NULL,NULL,NULL,NULL
1512,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3803,19,202166,html-button-response,0,NULL,NULL,NULL
1513,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1412,20,203580,html-button-response,2,NULL,NULL,NULL
1514,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2514,21,206097,html-slider-response,NULL,38,NULL,NULL
1515,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,206099,call-function,NULL,NULL,NULL,NULL
1516,15,Array,1.2,1,7,0,1,NULL,NULL,NULL,23,225463,pong,NULL,NULL,NULL,NULL
1517,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1936,24,227402,html-button-response,1,NULL,NULL,NULL
1518,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,515,25,227918,html-button-response,1,NULL,NULL,NULL
1519,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1726,26,229647,html-slider-response,NULL,60,NULL,NULL
1520,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,229650,call-function,NULL,NULL,NULL,NULL
1521,17,Array,1.9,1,5,0,2,NULL,NULL,NULL,28,255482,pong,NULL,NULL,NULL,NULL
1522,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2484,29,257968,html-button-response,1,NULL,NULL,NULL
1523,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1032,30,259002,html-button-response,1,NULL,NULL,NULL
